lat,long
49.4858116,0.1303057
49.4853895,0.1360866
49.4973379,0.1122287
49.4914251,0.1088029
49.4907206,0.1038242
49.492468,0.1236389
49.4845523,0.1334059
49.4998758,0.1253211
49.496269,0.1075245
49.4955732,0.1241716
49.495774,0.0965902
49.4916202,0.1064098
49.4952841,0.1089207
49.495439,0.1094001
49.4969985,0.1120447
49.4990574,0.1294791
49.4953449,0.1128627
49.4941365,0.1101727
49.491793,0.107153
49.4954277,0.1012863
